ABCB1	ENSG00000085563
CIITA	ENSG00000179583
CILK1	ENSG00000112144
CKS1B	ENSG00000173207
CLIP1	ENSG00000130779
CMTR2	ENSG00000180917
CNBD1	ENSG00000176571
CNOT9	ENSG00000144580
COL1A1	ENSG00000108821
COL5A1	ENSG00000130635
COL7A1	ENSG00000114270
COP1	ENSG00000143207
CPS1	ENSG00000021826
CRBN	ENSG00000113851
CREB3L3	ENSG00000060566
CREBBP	ENSG00000005339
CRKL	ENSG00000099942
CRLF1	ENSG00000006016
CRLF2	ENSG00000205755
CRTC1	ENSG00000105662
CSDE1	ENSG00000009307
CSF1R	ENSG00000182578
CSF3R	ENSG00000119535
CSNK1A1	ENSG00000113712
CTC1	ENSG00000178971
CTCF	ENSG00000102974
CTDNEP1	ENSG00000175826
CTLA4	ENSG00000163599
CTNNA1	ENSG00000044115
CTNNB1	ENSG00000168036
CTNND1	ENSG00000198561
CTR9	ENSG00000198730
CUL1	ENSG00000055130
CUL3	ENSG00000036257
CUL4A	ENSG00000139842
CUL4B	ENSG00000158290
CUX1	ENSG00000257923
CXCR4	ENSG00000121966
CYLD	ENSG00000083799
CYP17A1	ENSG00000148795
CYP19A1	ENSG00000137869
CYP2D6	ENSG00000100197
CYSLTR2	ENSG00000152207
DACH1	ENSG00000276644
DAXX	ENSG00000204209
DAZAP1	ENSG00000071626
DCSTAMP	ENSG00000164935
DCUN1D1	ENSG00000043093
DDB2	ENSG00000134574
DDR1	ENSG00000204580
DDR2	ENSG00000162733
DDX3X	ENSG00000215301
DDX41	ENSG00000183258
DEK	ENSG00000124795
DHX9	ENSG00000135829
DIAPH2	ENSG00000147202
DICER1	ENSG00000100697
DIS3	ENSG00000083520
DIS3L2	ENSG00000144535
DKC1	ENSG00000130826
DKK4	ENSG00000104371
DMD	ENSG00000198947
DNAJB1	ENSG00000132002
DNM2	ENSG00000079805
DNMT1	ENSG00000130816
DNMT3A	ENSG00000119772
DNMT3B	ENSG00000088305
DOCK8	ENSG00000107099
DOT1L	ENSG00000104885
DROSHA	ENSG00000113360
DTX1	ENSG00000135144
DUSP22	ENSG00000112679
DUSP2	ENSG00000158050
DUSP4	ENSG00000120875
DUSP9	ENSG00000130829
E2F3	ENSG00000112242
EBF1	ENSG00000164330
ECT2L	ENSG00000203734
EED	ENSG00000074266
EEF1A1	ENSG00000156508
EEF2	ENSG00000167658
EGFL7	ENSG00000172889
EGFR	ENSG00000146648
EGLN1	ENSG00000135766
EGR1	ENSG00000120738
EGR2	ENSG00000122877
EGR3	ENSG00000179388
EIF1AX	ENSG00000173674
EIF3E	ENSG00000104408
EIF4A2	ENSG00000156976
EIF4E	ENSG00000151247
ELANE	ENSG00000197561
ELF3	ENSG00000163435
ELOC	ENSG00000154582
ELP2	ENSG00000134759
EML4	ENSG00000143924
EMSY	ENSG00000158636
ENG	ENSG00000106991
EP300	ENSG00000100393
EPAS1	ENSG00000116016
EPC1	ENSG00000120616
EPCAM	ENSG00000119888
EPHA2	ENSG00000142627
EPHA3	ENSG00000044524
EPHA5	ENSG00000145242
EPHA7	ENSG00000135333
EPHB1	ENSG00000154928
EPHB4	ENSG00000196411
EPOR	ENSG00000187266
ERBB2	ENSG00000141736
ERBB3	ENSG00000065361
ERBB4	ENSG00000178568
ERCC1	ENSG00000012061
ERCC2	ENSG00000104884
ERCC3	ENSG00000163161
ERCC4	ENSG00000175595
ERCC5	ENSG00000134899
ERCC6	ENSG00000225830
ERF	ENSG00000105722
ERG	ENSG00000157554
ERRFI1	ENSG00000116285
ESR1	ENSG00000091831
ESRRA	ENSG00000173153
ETNK1	ENSG00000139163
ETS1	ENSG00000134954
ETV1	ENSG00000006468
ETV4	ENSG00000175832
ETV5	ENSG00000244405
ETV6	ENSG00000139083
EWSR1	ENSG00000182944
EXO1	ENSG00000174371
EXOSC6	ENSG00000223496
EXT1	ENSG00000182197
EXT2	ENSG00000151348
EZH1	ENSG00000108799
EZH2	ENSG00000106462
EZHIP	ENSG00000187690
EZR	ENSG00000092820
FAF1	ENSG00000185104
FAM135B	ENSG00000147724
FANCA	ENSG00000187741
FANCB	ENSG00000181544
FANCC	ENSG00000158169
FANCD2	ENSG00000144554
FANCE	ENSG00000112039
FANCF	ENSG00000183161
FANCG	ENSG00000221829
FANCI	ENSG00000140525
FANCL	ENSG00000115392
FANCM	ENSG00000187790
FAS	ENSG00000026103
FASLG	ENSG00000117560
FAT1	ENSG00000083857
FBXO11	ENSG00000138081
FBXO31	ENSG00000103264
FBXW7	ENSG00000109670
FCGR2A	ENSG00000143226
FCGR3A	ENSG00000203747
FGF10	ENSG00000070193
FGF12	ENSG00000114279
FGF14	ENSG00000102466
FGF19	ENSG00000162344
FGF1	ENSG00000113578
FGF23	ENSG00000118972
FGF2	ENSG00000138685
FGF3	ENSG00000186895
FGF4	ENSG00000075388
FGF5	ENSG00000138675
FGF6	ENSG00000111241
FGF7	ENSG00000140285
FGF8	ENSG00000107831
FGF9	ENSG00000102678
FGFR1	ENSG00000077782
FGFR2	ENSG00000066468
FGFR3	ENSG00000068078
FGFR4	ENSG00000160867
FGR	ENSG00000000938
FH	ENSG00000091483
FHIT	ENSG00000189283
FLCN	ENSG00000154803
FLI1	ENSG00000151702
FLNA	ENSG00000196924
FLT1	ENSG00000102755
FLT3	ENSG00000122025
FLT4	ENSG00000037280
FLYWCH1	ENSG00000059122
FOXA1	ENSG00000129514
FOXA2	ENSG00000125798
FOXD4L1	ENSG00000184492
FOXL2	ENSG00000183770
FOXO1	ENSG00000150907
FOXO3	ENSG00000118689
FOXP1	ENSG00000114861
FOXQ1	ENSG00000164379
FRS2	ENSG00000166225
FUBP1	ENSG00000162613
FUS	ENSG00000089280
FYN	ENSG00000010810
GAB1	ENSG00000109458
GAB2	ENSG00000033327
GABRA6	ENSG00000145863
GADD45B	ENSG00000099860
GALNT12	ENSG00000119514
GATA1	ENSG00000102145
GATA2	ENSG00000179348
GATA3	ENSG00000107485
GATA4	ENSG00000136574
GATA6	ENSG00000141448
GEM	ENSG00000164949
GEN1	ENSG00000178295
GID4	ENSG00000141034
GLI1	ENSG00000111087
GLI2	ENSG00000074047
GLIS2	ENSG00000126603
GNA11	ENSG00000088256
GNA12	ENSG00000146535
GNA13	ENSG00000120063
GNAI2	ENSG00000114353
GNAQ	ENSG00000156052
GNAS	ENSG00000087460
GNB1	ENSG00000078369
GPC3	ENSG00000147257
GPS2	ENSG00000132522
GREM1	ENSG00000166923
GRIN2A	ENSG00000183454
GRIN2D	ENSG00000105464
GRM3	ENSG00000198822
GSK3B	ENSG00000082701
GTF2I	ENSG00000263001
GTSE1	ENSG00000075218
H1-2	ENSG00000187837
H1-3	ENSG00000124575
H1-4	ENSG00000168298
H19	ENSG00000130600
H2AC11	ENSG00000196787
H2AC16	ENSG00000276903
H2AC17	ENSG00000278677
H2AC6	ENSG00000180573
H2BC11	ENSG00000124635
H2BC12	ENSG00000197903
H2BC17	ENSG00000274641
H2BC4	ENSG00000180596
H2BC5	ENSG00000158373
H3-3A	ENSG00000163041
H3-3B	ENSG00000132475
H3-4	ENSG00000168148
H3-5	ENSG00000188375
H3C10	ENSG00000278828
H3C11	ENSG00000275379
H3C12	ENSG00000197153
H3C13	ENSG00000183598
H3C14	ENSG00000203811
H3C15	ENSG00000203852
H3C1	ENSG00000275714
H3C2	ENSG00000286522
H3C3	ENSG00000287080
H3C4	ENSG00000197409
H3C6	ENSG00000274750
H3C7	ENSG00000277775
H3C8	ENSG00000273983
HAVCR2	ENSG00000135077
HDAC1	ENSG00000116478
HDAC2	ENSG00000196591
HDAC4	ENSG00000068024
HDAC7	ENSG00000061273
HDAC9	ENSG00000048052
HGF	ENSG00000019991
HIF1A	ENSG00000100644
HLA-A	ENSG00000206503
HLA-B	ENSG00000234745
HLA-C	ENSG00000204525
HLA-DMA	ENSG00000204257
HLA-DMB	ENSG00000242574
HLA-DOA	ENSG00000204252
HLA-DOB	ENSG00000241106
HLA-DPA1	ENSG00000231389
HLA-DPB1	ENSG00000223865
HLA-DPB2	ENSG00000224557
HLA-DQA1	ENSG00000196735
HLA-DQA2	ENSG00000237541
HLA-DQB1	ENSG00000179344
HLA-DQB2	ENSG00000232629
HLA-DRA	ENSG00000204287
HLA-DRB1	ENSG00000196126
HLA-DRB5	ENSG00000198502
HLA-DRB6	ENSG00000229391
HLA-E	ENSG00000204592
HLA-F	ENSG00000204642
HLA-G	ENSG00000204632
HLTF	ENSG00000071794
HMGA2	ENSG00000149948
HNF1A	ENSG00000135100
HNRNPK	ENSG00000165119
HOXA11	ENSG00000005073
HOXB13	ENSG00000159184
HRAS	ENSG00000174775
HSD3B1	ENSG00000203857
HSP90AA1	ENSG00000080824
HSP90AB1	ENSG00000096384
HUWE1	ENSG00000086758
ICOS	ENSG00000163600
ICOSLG	ENSG00000160223
ID3	ENSG00000117318
IDH1	ENSG00000138413
IDH2	ENSG00000182054
IDO1	ENSG00000131203
IFNAR1	ENSG00000142166
IFNGR1	ENSG00000027697
IFNGR2	ENSG00000159128
IGF1	ENSG00000017427
IGF1R	ENSG00000140443
IGF2	ENSG00000167244
IKBKE	ENSG00000263528
IKZF1	ENSG00000185811
IKZF2	ENSG00000030419
IKZF3	ENSG00000161405
IL10	ENSG00000136634
IL2	ENSG00000109471
IL2RB	ENSG00000100385
IL2RG	ENSG00000147168
IL3	ENSG00000164399
IL4R	ENSG00000077238
IL6ST	ENSG00000134352
IL7R	ENSG00000168685
ING1	ENSG00000153487
INHA	ENSG00000123999
INHBA	ENSG00000122641
INPP4A	ENSG00000040933
INPP4B	ENSG00000109452
INPP5D	ENSG00000168918
INPPL1	ENSG00000165458
INSR	ENSG00000171105
IRF1	ENSG00000125347
IRF2	ENSG00000168310
IRF4	ENSG00000137265
IRF6	ENSG00000117595
IRF8	ENSG00000140968
IRS1	ENSG00000169047
IRS2	ENSG00000185950
IRS4	ENSG00000133124
ITGAM	ENSG00000169896
ITK	ENSG00000113263
ITPKB	ENSG00000143772
JAK1	ENSG00000162434
JAK2	ENSG00000096968
JAK3	ENSG00000105639
JARID2	ENSG00000008083
JAZF1	ENSG00000153814
JUN	ENSG00000177606
KANSL1	ENSG00000120071
KAT6A	ENSG00000083168
KAT6B	ENSG00000156650
KBTBD4	ENSG00000123444
KDM2B	ENSG00000089094
KDM4C	ENSG00000107077
KDM5A	ENSG00000073614
KDM5C	ENSG00000126012
KDM6A	ENSG00000147050
KDM6B	ENSG00000132510
KDR	ENSG00000128052
KEAP1	ENSG00000079999
KEL	ENSG00000197993
KIF1A	ENSG00000130294
KIF1B	ENSG00000054523
KIF5B	ENSG00000170759
KIR3DL1	ENSG00000167633
KIT	ENSG00000157404
KLF2	ENSG00000127528
KLF3	ENSG00000109787
KLF4	ENSG00000136826
KLF5	ENSG00000102554
KLHL6	ENSG00000172578
KLLN	ENSG00000227268
KMT2A	ENSG00000118058
KMT2B	ENSG00000272333
KMT2C	ENSG00000055609
KMT2D	ENSG00000167548
KNSTRN	ENSG00000128944
KRAS	ENSG00000133703
KRT222	ENSG00000213424
LAG3	ENSG00000089692
LATS1	ENSG00000131023
LATS2	ENSG00000150457
LCK	ENSG00000182866
LDB1	ENSG00000198728
LEF1	ENSG00000138795
LEMD2	ENSG00000161904
LIFR	ENSG00000113594
LMO1	ENSG00000166407
LRP1B	ENSG00000168702
LRP5	ENSG00000162337
LRP6	ENSG00000070018
LRRK2	ENSG00000188906
LTB	ENSG00000227507
LTK	ENSG00000062524
LYN	ENSG00000254087
LZTR1	ENSG00000099949
MACF1	ENSG00000127603
MAD2L2	ENSG00000116670
MAFB	ENSG00000204103
MAF	ENSG00000178573
MAGED1	ENSG00000179222
MAGI2	ENSG00000187391
MALT1	ENSG00000172175
MAML2	ENSG00000184384
MAMLD1	ENSG00000013619
MAP2K1	ENSG00000169032
MAP2K2	ENSG00000126934
MAP2K4	ENSG00000065559
MAP3K13	ENSG00000073803
MAP3K14	ENSG00000006062
MAP3K1	ENSG00000095015
MAP3K4	ENSG00000085511
MAP3K6	ENSG00000142733
MAP3K7	ENSG00000135341
MAPK1	ENSG00000100030
MAPK3	ENSG00000102882
MAST1	ENSG00000105613
MAST2	ENSG00000086015
MAX	ENSG00000125952
MC1R	ENSG00000258839
MCL1	ENSG00000143384
MDC1	ENSG00000137337
MDM2	ENSG00000135679
MDM4	ENSG00000198625
MEAF6	ENSG00000163875
MECOM	ENSG00000085276
MED12	ENSG00000184634
MEF2B	ENSG00000213999
MEF2C	ENSG00000081189
MEF2D	ENSG00000116604
MEN1	ENSG00000133895
MERTK	ENSG00000153208
MET	ENSG00000105976
MGA	ENSG00000174197
MGMT	ENSG00000170430
MIB1	ENSG00000101752
MIDEAS	ENSG00000156030
MIR142	ENSG00000284353
MITF	ENSG00000187098
MKI67	ENSG00000148773
MKNK1	ENSG00000079277
MLH1	ENSG00000076242
MLH3	ENSG00000119684
MLLT10	ENSG00000078403
MLLT1	ENSG00000130382
MLLT3	ENSG00000171843
MPL	ENSG00000117400
MR1	ENSG00000153029
MRE11	ENSG00000020922
MRTFA	ENSG00000196588
MRTFB	ENSG00000186260
MSH2	ENSG00000095002
MSH3	ENSG00000113318
MSH6	ENSG00000116062
MSI2	ENSG00000153944
MSMB	ENSG00000263639
MST1	ENSG00000173531
MST1R	ENSG00000164078
MT1JP	ENSG00000255986
MTAP	ENSG00000099810
MTOR	ENSG00000198793
MUC17	ENSG00000169876
MUC6	ENSG00000184956
MUSK	ENSG00000030304
MUTYH	ENSG00000132781
MYB	ENSG00000118513
MYBL1	ENSG00000185697
MYC	ENSG00000136997
MYCL	ENSG00000116990
MYCN	ENSG00000134323
MYD88	ENSG00000172936
MYH11	ENSG00000133392
MYH9	ENSG00000100345
MYO18A	ENSG00000196535
MYOD1	ENSG00000129152
NADK	ENSG00000008130
NBN	ENSG00000104320
NCOA2	ENSG00000140396
NCOA3	ENSG00000124151
NCOR1	ENSG00000141027
NCOR2	ENSG00000196498
NCSTN	ENSG00000162736
NECTIN4	ENSG00000143217
NEGR1	ENSG00000172260
NEIL2	ENSG00000154328
NF1	ENSG00000196712
NF2	ENSG00000186575
NFATC2	ENSG00000101096
NFE2	ENSG00000123405
NFE2L2	ENSG00000116044
NFKBIA	ENSG00000100906
NFKBIE	ENSG00000146232
NIPBL	ENSG00000164190
NKX2-1	ENSG00000136352
NKX3-1	ENSG00000167034
NOD1	ENSG00000106100
NOTCH1	ENSG00000148400
NOTCH2	ENSG00000134250
NOTCH3	ENSG00000074181
NOTCH4	ENSG00000204301
NPM1	ENSG00000181163
NPRL2	ENSG00000114388
NR4A3	ENSG00000119508
NRAS	ENSG00000213281
NRG1	ENSG00000157168
NSD1	ENSG00000165671
NSD2	ENSG00000109685
NSD3	ENSG00000147548
NT5C2	ENSG00000076685
NT5E	ENSG00000135318
NTHL1	ENSG00000065057
NTRK1	ENSG00000198400
NTRK2	ENSG00000148053
NTRK3	ENSG00000140538
NUDT15	ENSG00000136159
NUF2	ENSG00000143228
NUMBL	ENSG00000105245
NUP133	ENSG00000069248
NUP214	ENSG00000126883
NUP93	ENSG00000102900
NUP98	ENSG00000110713
NUTM1	ENSG00000184507
P2RY8	ENSG00000182162
PABPC1	ENSG00000070756
PAG1	ENSG00000076641
PAK1	ENSG00000149269
PAK3	ENSG00000077264
PAK5	ENSG00000101349
PALB2	ENSG00000083093
PARP1	ENSG00000143799
PARP2	ENSG00000129484
PARP3	ENSG00000041880
PARP4	ENSG00000102699
PARPBP	ENSG00000185480
PASK	ENSG00000115687
PAX3	ENSG00000135903
PAX5	ENSG00000196092
PAX7	ENSG00000009709
PAX8	ENSG00000125618
PAXIP1	ENSG00000157212
PBRM1	ENSG00000163939
PCBP1	ENSG00000169564
PC	ENSG00000173599
PCLO	ENSG00000186472
PDCD11	ENSG00000148843
PDCD1	ENSG00000188389
PDCD1LG2	ENSG00000197646
PDGFB	ENSG00000100311
PDGFRA	ENSG00000134853
PDGFRB	ENSG00000113721
PDK1	ENSG00000152256
PDPK1	ENSG00000140992
PDS5B	ENSG00000083642
PGBD5	ENSG00000177614
PGR	ENSG00000082175
PHF6	ENSG00000156531
PHOX2B	ENSG00000109132
PICALM	ENSG00000073921
PIGA	ENSG00000165195
PIK3C2B	ENSG00000133056
PIK3C2G	ENSG00000139144
PIK3C3	ENSG00000078142
PIK3CA	ENSG00000121879
PIK3CB	ENSG00000051382
PIK3CD	ENSG00000171608
PIK3CG	ENSG00000105851
PIK3R1	ENSG00000145675
PIK3R2	ENSG00000105647
PIK3R3	ENSG00000117461
PIM1	ENSG00000137193
PKN1	ENSG00000123143
PLAG1	ENSG00000181690
PLCB4	ENSG00000101333
PLCG1	ENSG00000124181
PLCG2	ENSG00000197943
PLK2	ENSG00000145632
PLXNB2	ENSG00000196576
PMAIP1	ENSG00000141682
PML	ENSG00000140464
PMS1	ENSG00000064933
PMS2	ENSG00000122512
PNRC1	ENSG00000146278
POLD1	ENSG00000062822
POLE	ENSG00000177084
POLH	ENSG00000170734
POLQ	ENSG00000051341
POLR2A	ENSG00000181222
POLRMT	ENSG00000099821
POT1	ENSG00000128513
POU2F2	ENSG00000028277
PPARG	ENSG00000132170
PPM1D	ENSG00000170836
PPP2R1A	ENSG00000105568
PPP2R2A	ENSG00000221914
PPP4R2	ENSG00000163605
PPP6C	ENSG00000119414
PRDM14	ENSG00000147596
PRDM1	ENSG00000057657
PREX2	ENSG00000046889
PRF1	ENSG00000180644
PRKACA	ENSG00000072062
PRKAR1A	ENSG00000108946
PRKCA	ENSG00000154229
PRKCB	ENSG00000166501
PRKCD	ENSG00000163932
PRKCI	ENSG00000163558
PRKD1	ENSG00000184304
PRKDC	ENSG00000253729
PRKN	ENSG00000185345
PRPF40B	ENSG00000110844
PRPF8	ENSG00000174231
PRPS1	ENSG00000147224
PRSS1	ENSG00000204983
PRSS8	ENSG00000052344
PSIP1	ENSG00000164985
PSMB5	ENSG00000100804
PTCH1	ENSG00000185920
PTCH2	ENSG00000117425
PTEN	ENSG00000171862
PTK2B	ENSG00000120899
PTK2	ENSG00000169398
PTMA	ENSG00000187514
PTP4A1	ENSG00000112245
PTPDC1	ENSG00000158079
PTPN11	ENSG00000179295
PTPN13	ENSG00000163629
PTPN14	ENSG00000152104
PTPN1	ENSG00000196396
PTPN2	ENSG00000175354
PTPN6	ENSG00000111679
PTPRC	ENSG00000081237
PTPRD	ENSG00000153707
PTPRO	ENSG00000151490
PTPRS	ENSG00000105426
PTPRT	ENSG00000196090
QKI	ENSG00000112531
RAB35	ENSG00000111737
RABEP1	ENSG00000029725
RAC1	ENSG00000136238
RAC2	ENSG00000128340
RAD21	ENSG00000164754
RAD50	ENSG00000113522
RAD51B	ENSG00000182185
RAD51C	ENSG00000108384
RAD51D	ENSG00000185379
RAD51	ENSG00000051180
RAD52	ENSG00000002016
RAD54B	ENSG00000197275
RAD54L	ENSG00000085999
RAF1	ENSG00000132155
RANBP17	ENSG00000204764
RANBP2	ENSG00000153201
RARA	ENSG00000131759
RASA1	ENSG00000145715
RASGEF1A	ENSG00000198915
RB1	ENSG00000139687
RBM10	ENSG00000182872
RBM15	ENSG00000162775
RBM38	ENSG00000132819
RECQL4	ENSG00000160957
RECQL	ENSG00000004700
RELA	ENSG00000173039
REL	ENSG00000162924
RELN	ENSG00000189056
REST	ENSG00000084093
RET	ENSG00000165731
RFC1	ENSG00000035928
RGPD3	ENSG00000153165
RHEB	ENSG00000106615
RHOA	ENSG00000067560
RHOB	ENSG00000143878
RHPN2	ENSG00000131941
RICTOR	ENSG00000164327
RINT1	ENSG00000135249
RIT1	ENSG00000143622
RNF111	ENSG00000157450
RNF139	ENSG00000170881
RNF43	ENSG00000108375
ROBO1	ENSG00000169855
ROS1	ENSG00000047936
RPA1	ENSG00000132383
RPL10	ENSG00000147403
RPL22	ENSG00000116251
RPL5	ENSG00000122406
RPS15	ENSG00000115268
RPS20	ENSG00000008988
RPS3A	ENSG00000145425
RPS6KA3	ENSG00000177189
RPS6KA4	ENSG00000162302
RPS6KB1	ENSG00000108443
RPS6KB2	ENSG00000175634
RPTOR	ENSG00000141564
RRAGC	ENSG00000116954
RRAS2	ENSG00000133818
RRAS	ENSG00000126458
RSPO2	ENSG00000147655
RSPO3	ENSG00000146374
RTEL1	ENSG00000258366
RUNX1	ENSG00000159216
RUNX1T1	ENSG00000079102
RXRA	ENSG00000186350
RYBP	ENSG00000163602
S1PR2	ENSG00000267534
SALL4	ENSG00000101115
SAMD9	ENSG00000205413
SAMD9L	ENSG00000177409
SAMHD1	ENSG00000101347
SBDS	ENSG00000126524
SCAF4	ENSG00000156304
SCG5	ENSG00000166922
SDC4	ENSG00000124145
SDHA	ENSG00000073578
SDHAF2	ENSG00000167985
SDHB	ENSG00000117118
SDHC	ENSG00000143252
SDHD	ENSG00000204370
SERP2	ENSG00000151778
SERPINA1	ENSG00000197249
SERPINB3	ENSG00000057149
SERPINB4	ENSG00000206073
SESN2	ENSG00000130766
SESN3	ENSG00000149212
SETBP1	ENSG00000152217
SETD1B	ENSG00000139718
SETD2	ENSG00000181555
SETDB1	ENSG00000143379
SETDB2	ENSG00000136169
SF1	ENSG00000168066
SF3A1	ENSG00000099995
SF3B1	ENSG00000115524
SGK1	ENSG00000118515
SH2B3	ENSG00000111252
SH2D1A	ENSG00000183918
SHH	ENSG00000164690
SHOC2	ENSG00000108061
SHQ1	ENSG00000144736
SIN3A	ENSG00000169375
SIRPA	ENSG00000198053
SLC26A3	ENSG00000091138
SLC34A2	ENSG00000157765
SLFN11	ENSG00000172716
SLIT2	ENSG00000145147
SLX4	ENSG00000188827
SMAD2	ENSG00000175387
SMAD3	ENSG00000166949
SMAD4	ENSG00000141646
SMARCA1	ENSG00000102038
SMARCA2	ENSG00000080503
SMARCA4	ENSG00000127616
SMARCAL1	ENSG00000138375
SMARCB1	ENSG00000099956
SMARCD1	ENSG00000066117
SMARCE1	ENSG00000073584
SMC1A	ENSG00000072501
SMC3	ENSG00000108055
SMO	ENSG00000128602
SMYD3	ENSG00000185420
SNCAIP	ENSG00000064692
SOCS1	ENSG00000185338
SOCS2	ENSG00000120833
SOCS3	ENSG00000184557
SOS1	ENSG00000115904
SOX10	ENSG00000100146
SOX17	ENSG00000164736
SOX2	ENSG00000181449
SOX9	ENSG00000125398
SP140	ENSG00000079263
SPEN	ENSG00000065526
SPOP	ENSG00000121067
SPRED1	ENSG00000166068
SPRTN	ENSG00000010072
SPTA1	ENSG00000163554
SPTAN1	ENSG00000197694
SRC	ENSG00000197122
SRSF2	ENSG00000161547
SS18	ENSG00000141380
SSBP2	ENSG00000145687
STAG1	ENSG00000118007
STAG2	ENSG00000101972
STAT1	ENSG00000115415
STAT2	ENSG00000170581
STAT3	ENSG00000168610
STAT4	ENSG00000138378
STAT5A	ENSG00000126561
STAT5B	ENSG00000173757
STAT6	ENSG00000166888
STK11	ENSG00000118046
STK19	ENSG00000204344
STK40	ENSG00000196182
SUFU	ENSG00000107882
SUSD2	ENSG00000099994
SUZ12	ENSG00000178691
SYK	ENSG00000165025
TAF15	ENSG00000270647
TAF1	ENSG00000147133
TAL1	ENSG00000162367
